,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Length,Producer(s)_1,Producer(s)_2,Producer(s)_3,Producer(s)_4,Producer(s)_5,Producer(s)_6,Producer(s)_7,Producer(s)_8,Released,Songwriter(s)_1,Songwriter(s)_10,Songwriter(s)_11,Songwriter(s)_12,Songwriter(s)_13,Songwriter(s)_14,Songwriter(s)_15,Songwriter(s)_16,Songwriter(s)_17,Songwriter(s)_18,Songwriter(s)_19,Songwriter(s)_2,Songwriter(s)_20,Songwriter(s)_21,Songwriter(s)_22,Songwriter(s)_23,Songwriter(s)_24,Songwriter(s)_3,Songwriter(s)_4,Songwriter(s)_5,Songwriter(s)_6,Songwriter(s)_7,Songwriter(s)_8,Songwriter(s)_9,artist,index,link,rank,title,year
44,Pop,,,,,,,2:41,,,,,,,,,1950,"Carl Sigman, Percy Faith",,,,,,,,,,,,,,,,,,,,,,,,Guy Mitchell & Mitch Miller,14,https://en.wikipedia.org/wiki/My_Heart_Cries_for_You,15,"""My Heart Cries for You""",1951
45,,,,,,,,2:46,,,,,,,,,1951,"George Hoven, Chester R. Shull",,,,,,,,,,,,,,,,,,,,,,,,Eddy Howard,15,https://en.wikipedia.org/wiki/(It%27s_No)_Sin,16,"""(It's No) Sin""",1951
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaughn Monroe,16,https://en.wikipedia.org/wiki/Vaughn_Monroe,17,"""Sound Off""",1951
48,,,,,,,,,,,,,,,,,,Composer: Ernest Seitz,,,,,,,,,,,Lyricist: Gene Lockhart,,,,,,,,,,,,,Les Paul & Mary Ford,18,https://en.wikipedia.org/wiki/The_World_Is_Waiting_for_the_Sunrise,19,"""The World Is Waiting for the Sunrise""",1951
49,Pop,,,,,,,2:45,,,,,,,,,1951,Bob Merrill,,,,,,,,,,,,,,,,,,,,,,,,Guy Mitchell & Mitch Miller,19,"https://en.wikipedia.org/wiki/My_Truly,_Truly_Fair",20,"""My Truly, Truly Fair""",1951
50,,,,,,,,2:46,,,,,,,,,1951,"George Hoven, Chester R. Shull",,,,,,,,,,,,,,,,,,,,,,,,The Four Aces,20,https://en.wikipedia.org/wiki/(It%27s_No)_Sin,21,"""(It's No) Sin""",1951
51,,,,,,,,,,,,,,,,,,"Arthur Fields, Walter Donovan",,,,,,,,,,,,,,,,,,,,,,,,Debbie Reynolds & Carleton Carpenter,21,https://en.wikipedia.org/wiki/Aba_Daba_Honeymoon,22,"""Aba Daba Honeymoon""",1951
52,Mandopop,Shidaiqu,,,,,,2:23,,,,,,,,,1940,"Chen Gexin, Wu Cun (吳村)",,,,,,,,,,,,,,,,,,,,,,,,Frankie Laine,22,"https://en.wikipedia.org/wiki/Rose,_Rose,_I_Love_You",23,"""Rose, Rose, I Love You""",1951
53,,,,,,,,,,,,,,,,,,L. Wolfe Gilbert,,,,,,,,,,,,,,,,,,,,,,,,Del Wood,23,https://en.wikipedia.org/wiki/Down_Yonder,24,"""Down Yonder""",1951
54,,,,,,,,,,,,,,,,,,"Al Hoffman, Al Goodhart, and Ed Nelson\",,,,,,,,,,,,,,,,,,,,,,,,Billy Eckstine,24,https://en.wikipedia.org/wiki/I_Apologize_(1931_song),25,"""I Apologize""",1951
56,Pop,,,,,,,3:00,,,,,,,,,1950,Irving Berlin,,,,,,,,,,,,,,,,,,,,,,,,Perry Como & The Fontane Sisters,26,https://en.wikipedia.org/wiki/You%27re_Just_in_Love,27,"""You're Just in Love""",1951
57,,,,,,,,,,,,,,,,,,"Sid Robin, Charlie Shavers",,,,,,,,,,,,,,,,,,,,,,,,Ames Brothers with The Les Brown Orchestra,27,https://en.wikipedia.org/wiki/Undecided_(song),28,"""Undecided""",1951
59,,,,,,,,,,,,,,,,,,"Arthur Hammerstein, Dudley Wilkinson",,,,,,,,,,,,,,,,,,,,,,,,Les Baxter,29,https://en.wikipedia.org/wiki/Because_of_You_(1940_song),30,"""Because of You""",1951
